,codgeo,dep,libgeo,pop,evol_pop,evol_pop_pct,nb_menages,nb_homme,nb_femme,nb_etudiants,nb_entrep_services,nb_entrep_industrie,nb_entrep_commerce,nb_creation_entr,moyenne_sal_dep_horaire,nb_actifs,nb_actifs_sal,nb_educ_sante_action sociale,nb_pharmacie,typo_densite
39,56121,56,Lorient,59224,2768,4,29128,53682,61646,5472,1769.0,486.0,1691.0,351.0,10.433333333333334,20609.0,18548.0,513.0,1.0,Grands centres urbains
40,56260,56,Vannes,51759,2805,5,23877,46780,54006,5874,2061.0,506.0,1645.0,335.0,10.433333333333334,20041.0,17975.0,646.0,3.0,Grands centres urbains
41,57463,57,Metz,123704,9378,7,53048,115778,124776,15604,3618.0,796.0,3158.0,615.0,10.91868131868132,49052.0,45577.0,901.0,2.0,Grands centres urbains
42,59009,59,Villeneuve-d'Ascq,64997,8574,13,22715,60616,64972,10448,1761.0,340.0,1109.0,229.0,11.215948275862075,25516.0,23932.0,369.0,1.0,Grands centres urbains
43,59183,59,Dunkerque,70834,4143,5,29152,65728,71800,6022,1636.0,622.0,1558.0,227.0,11.215948275862075,25272.0,23008.0,488.0,0.0,Grands centres urbains
44,59350,59,Lille,212566,14194,6,99846,193282,219008,37365,7398.0,1561.0,6768.0,1393.0,11.215948275862075,74531.0,69099.0,1664.0,10.0,Grands centres urbains
45,59512,59,Roubaix,96959,8510,8,34138,89776,96112,9364,2422.0,618.0,2141.0,661.0,11.215948275862075,26401.0,24423.0,558.0,0.0,Grands centres urbains
46,59599,59,Tourcoing,93531,6914,7,34143,86436,93998,8418,1471.0,506.0,1286.0,332.0,11.215948275862075,31399.0,29449.0,463.0,3.0,Grands centres urbains
47,60057,60,Beauvais,55371,4589,8,22072,51164,55840,4215,1401.0,338.0,1174.0,212.0,11.981428571428577,21609.0,20314.0,322.0,3.0,Centres urbains intermédiaires
48,62193,62,Calais,77317,5573,7,30336,71128,78154,6221,1293.0,413.0,1359.0,277.0,10.70827586206897,24509.0,22853.0,413.0,2.0,Grands centres urbains
49,63113,63,Clermont-Ferrand,137154,5830,4,67612,123726,144170,21070,4365.0,1041.0,3744.0,654.0,11.554166666666667,52167.0,48263.0,1089.0,7.0,Grands centres urbains
50,64445,64,Pau,78800,1977,2,38911,69692,84372,10602,2865.0,593.0,2505.0,380.0,11.204761904761902,27400.0,24724.0,789.0,3.0,Grands centres urbains
51,66136,66,Perpignan,105096,766,0,49902,93574,111732,8889,3888.0,1026.0,4068.0,1044.0,10.247916666666663,30279.0,25895.0,1182.0,8.0,Grands centres urbains
52,67482,67,Strasbourg,263941,15903,6,116767,242090,270524,34725,8459.0,1983.0,7108.0,1542.0,11.76625,102649.0,93682.0,2245.0,3.0,Grands centres urbains
53,68066,68,Colmar,65118,3647,5,27831,59440,66638,4333,1839.0,500.0,1999.0,302.0,11.419999999999998,27622.0,25642.0,514.0,0.0,Grands centres urbains
